title,avg_rating,Class
Athiran,6.8,"One-time-watch movie"
"Atomic Blonde",6.7,"One-time-watch movie"
Aurora,4.3,"Flop movie"
"Aus dem Nichts",7.1,"Hit movie"
Aux,4.2,"Flop movie"
"Avenge the Crows",5.2,"One-time-watch movie"
Avengement,6.5,"One-time-watch movie"
"Awaken the Shadowman",4.3,"Flop movie"
Awe!,7.9,"Hit movie"
Axis,4.0,"Flop movie"
"B. Tech",6.2,"One-time-watch movie"
B&B,5.3,"One-time-watch movie"
Baadshaho,4.9,"Flop movie"
"Baaghi 2",5.0,"One-time-watch movie"
Baaji,7.1,"Hit movie"
Baazaar,6.6,"One-time-watch movie"
"Babumoshai Bandookbaaz",6.9,"One-time-watch movie"
"Back Roads",7.0,"Hit movie"
"Bad Blood",4.3,"Flop movie"
"Bad Day for the Cut",6.5,"One-time-watch movie"
"Bad Frank",5.0,"One-time-watch movie"
"Bad Girl",5.6,"One-time-watch movie"
"Bad Kids of Crestview Academy",6.2,"One-time-watch movie"
"Bad Match",5.5,"One-time-watch movie"
"Bad Samaritan",6.4,"One-time-watch movie"
"Bagh bandi khela",4.6,"Flop movie"
Bairavaa,5.9,"One-time-watch movie"
Ballon,7.6,"Hit movie"
Balloon,4.7,"Flop movie"
"Ban-deu-si jab-neun-da",6.5,"One-time-watch movie"
"Bang jia zhe",5.1,"One-time-watch movie"
"Bank Chor",5.9,"One-time-watch movie"
"Barot House",7.2,"Hit movie"
Barracuda,5.5,"One-time-watch movie"
"Batla House",7.3,"Hit movie"
Bbaengban,5.5,"One-time-watch movie"
"Be Afraid",4.7,"Flop movie"
"Be My Cat: A Film for Anne",6.3,"One-time-watch movie"
"Be Vaghte Sham",5.5,"One-time-watch movie"
"Beach House",6.8,"One-time-watch movie"
"Beacon Point",5.9,"One-time-watch movie"
"Beautiful Manasugalu",7.8,"Hit movie"
Beirut,6.4,"One-time-watch movie"
"Bell Bottom",8.7,"Superhit movie"
"Beneath the Leaves",4.5,"Flop movie"
"Beneath Us",5.1,"One-time-watch movie"
Bent,5.4,"One-time-watch movie"
Benzersiz,4.8,"Flop movie"
Benzin,5.3,"One-time-watch movie"
"Berlin Falling",6.2,"One-time-watch movie"
Berserk,3.6,"Flop movie"
Besetment,3.5,"Flop movie"
"Best F(r)iends: Volume 1",5.5,"One-time-watch movie"
"Best F(r)iends: Volume 2",5.1,"One-time-watch movie"
Betrayed,6.3,"One-time-watch movie"
"Between Worlds",4.6,"Flop movie"
"Beyond the Night",5.2,"One-time-watch movie"
"Beyond the Sky",5.8,"One-time-watch movie"
"Beyond White Space",4.5,"Flop movie"
"Bez menya",5.7,"One-time-watch movie"
Bhaagamathie,7.0,"Hit movie"
"Billionaire Boys Club",5.6,"One-time-watch movie"
"Billy Boy",4.3,"Flop movie"
"Birbal Trilogy",8.8,"Superhit movie"
Bitch,5.0,"One-time-watch movie"
"Black Butterfly",6.1,"One-time-watch movie"
"Black Wake",2.1,"Flop movie"
"Black Water",4.6,"Flop movie"
Blackmail,7.0,"Hit movie"
Blackmark,4.4,"Flop movie"
Blank,6.0,"One-time-watch movie"
"Blood Bound",4.2,"Flop movie"
"Blood Child",7.8,"Hit movie"
"Blood Craft",3.5,"Flop movie"
"Blood Money",4.5,"Flop movie"
"Blood Prism",2.6,"Flop movie"
"Blood Stripe",6.1,"One-time-watch movie"
"Blood Vow",6.4,"One-time-watch movie"
Bloodlands,5.8,"One-time-watch movie"
Bloodline,6.0,"One-time-watch movie"
"Bloody Crayons",5.6,"One-time-watch movie"
Blowtorch,4.2,"Flop movie"
"Bluff Master",6.5,"One-time-watch movie"
"BNB Hell",5.5,"One-time-watch movie"
Boar,5.1,"One-time-watch movie"
"Body at Brighton Rock",4.6,"Flop movie"
"Body Keepers",2.8,"Flop movie"
"Body of Deceit",4.2,"Flop movie"
"Body of Sin",4.7,"Flop movie"
Bodysnatch,3.1,"Flop movie"
Bogan,6.4,"One-time-watch movie"
Boi,4.8,"Flop movie"
"Bonded by Blood 2",5.8,"One-time-watch movie"
"Bonehill Road",6.3,"One-time-watch movie"
Boomerang,5.6,"One-time-watch movie"
"Bordo Bereliler Afrin",1.5,"Flop movie"
"Bornoporichoy: A Grammar Of Death",5.1,"One-time-watch movie"
Börü,7.0,"Hit movie"
Botoks,3.7,"Flop movie"
"Bottle Girl",4.7,"Flop movie"
"Bottom of the World",5.4,"One-time-watch movie"
"Boyne Falls",6.8,"One-time-watch movie"
Braid,5.4,"One-time-watch movie"
Braxton,3.6,"Flop movie"
"Break-Up Nightmare",4.5,"Flop movie"
"Breakdown Forest - Reise in den Abgrund",7.5,"Hit movie"
"Breaking Point",2.7,"Flop movie"
Brimstone,7.1,"Hit movie"
Brokedown,7.2,"Hit movie"
"Broken Ghost",5.0,"One-time-watch movie"
"Broken Star",4.2,"Flop movie"
"Brothers in Arms",5.5,"One-time-watch movie"
"Buckout Road",4.0,"Flop movie"
"Bullet Head",5.4,"One-time-watch movie"
"Bullitt County",4.9,"Flop movie"
Bumperkleef,6.3,"One-time-watch movie"
"Bundy and the Green River Killer",3.8,"Flop movie"
Burn,5.6,"One-time-watch movie"
"Burn Out",6.1,"One-time-watch movie"
"Burning Kiss",3.6,"Flop movie"
"But Deliver Us from Evil",2.7,"Flop movie"
BuyBust,5.8,"One-time-watch movie"
Byeonshin,5.3,"One-time-watch movie"
"Byomkesh Gotro",6.3,"One-time-watch movie"
Cabaret,3.5,"Flop movie"
Cage,3.6,"Flop movie"
"Cain Hill",3.5,"Flop movie"
Calibre,6.7,"One-time-watch movie"
"Call of the Wolf",5.9,"One-time-watch movie"
Callback,6.6,"One-time-watch movie"
"Caller ID",4.1,"Flop movie"
Cam,5.9,"One-time-watch movie"
"Camera Obscura",4.6,"Flop movie"
"Canal Street",3.9,"Flop movie"
