title,avg_rating,Class
Josie,5.5,"One-time-watch movie"
"Journal 64",7.4,"Hit movie"
"Judgementall Hai Kya",6.0,"One-time-watch movie"
Jungle,6.7,"One-time-watch movie"
"Jûni-nin no shinitai kodomo-tachi",5.7,"One-time-watch movie"
"Juzni vetar",8.3,"Superhit movie"
K.O.,5.4,"One-time-watch movie"
Kaabil,7.1,"Hit movie"
Kaalakaandi,6.2,"One-time-watch movie"
Kääntöpiste,6.1,"One-time-watch movie"
Kaappaan,6.7,"One-time-watch movie"
"Kaashi in Search of Ganga",5.6,"One-time-watch movie"
Kaaviyyan,5.6,"One-time-watch movie"
Kabir,5.8,"One-time-watch movie"
"Kadaram Kondan",5.8,"One-time-watch movie"
Kaithi,8.9,"Superhit movie"
"Kala Viplavam Pranayam",4.7,"Flop movie"
Kaleidoscope,5.7,"One-time-watch movie"
Kalki,7.3,"Hit movie"
"Kargar sadeh niazmandim",5.8,"One-time-watch movie"
Karma,6.9,"One-time-watch movie"
Karuppan,5.6,"One-time-watch movie"
Kasablanka,6.7,"One-time-watch movie"
Kataka,7.7,"Hit movie"
Kavacha,8.4,"Superhit movie"
Kavacham,5.7,"One-time-watch movie"
Kavaludaari,8.1,"Superhit movie"
Kavan,7.1,"Hit movie"
Kaygi,6.6,"One-time-watch movie"
Kee,5.2,"One-time-watch movie"
"Keep Watching",4.3,"Flop movie"
Keshava,6.4,"One-time-watch movie"
Khamoshi,3.7,"Flop movie"
"Khaneye dokhtar",5.3,"One-time-watch movie"
Khoj,6.8,"One-time-watch movie"
Kidnap,5.9,"One-time-watch movie"
"Kidnapping Stella",4.8,"Flop movie"
"Kill Chain",5.2,"One-time-watch movie"
"Kill Switch",4.8,"Flop movie"
"Killer in a Red Dress",4.8,"Flop movie"
"Killer in Law",5.1,"One-time-watch movie"
"Killer Kate!",3.6,"Flop movie"
"Killer Under the Bed",5.5,"One-time-watch movie"
"Killers Within",5.1,"One-time-watch movie"
"Killing Ground",5.8,"One-time-watch movie"
"Killing Gunther",4.7,"Flop movie"
"Kings Bay",5.8,"One-time-watch movie"
Knuckleball,5.7,"One-time-watch movie"
"Kolaiyuthir Kaalam",2.7,"Flop movie"
Konvert,5.5,"One-time-watch movie"
Konwój,5.9,"One-time-watch movie"
Koxa,4.2,"Flop movie"
"Krampus: The Christmas Devil",1.6,"Flop movie"
"Kuang shou",5.5,"One-time-watch movie"
"Kundschafter des Friedens",5.8,"One-time-watch movie"
"Kung Fu Traveler",5.4,"One-time-watch movie"
"Kurangu Bommai",8.1,"Superhit movie"
"Kuttram 23",7.3,"Hit movie"
"La Cordillera",6.0,"One-time-watch movie"
"La hora final",6.1,"One-time-watch movie"
"La llorona",7.1,"Hit movie"
"La Misma Sangre",6.0,"One-time-watch movie"
"La niebla y la doncella",5.4,"One-time-watch movie"
"La nuit a dévoré le monde",6.0,"One-time-watch movie"
"La quietud",6.1,"One-time-watch movie"
"La ragazza nella nebbia",6.8,"One-time-watch movie"
"La sombra de la ley",6.3,"One-time-watch movie"
"Laal Kabootar",7.9,"Hit movie"
Ladyworld,3.2,"Flop movie"
"Laissez bronzer les cadavres",6.2,"One-time-watch movie"
Lakshyam,5.6,"One-time-watch movie"
"Land of Smiles",4.5,"Flop movie"
"Land of the Little People",6.5,"One-time-watch movie"
Larceny,3.4,"Flop movie"
"Las grietas de Jara",5.7,"One-time-watch movie"
"Las tinieblas",5.7,"One-time-watch movie"
Lasso,4.6,"Flop movie"
"Last Ferry",7.2,"Hit movie"
"Last Seen in Idaho",5.1,"One-time-watch movie"
Lavender,5.3,"One-time-watch movie"
Lazarat,5.3,"One-time-watch movie"
"Le chant du loup",7.0,"Hit movie"
"Le serpent aux mille coupures",6.0,"One-time-watch movie"
Leatherface,5.0,"One-time-watch movie"
Legionario,6.5,"One-time-watch movie"
Lens,7.0,"Hit movie"
"Les fauves",5.0,"One-time-watch movie"
"Let Her Out",4.4,"Flop movie"
"Level 16",5.9,"One-time-watch movie"
LIE,5.9,"One-time-watch movie"
"Lie Low",5.0,"One-time-watch movie"
Liebmann,5.3,"One-time-watch movie"
"Lies We Tell",4.0,"Flop movie"
Life,6.6,"One-time-watch movie"
"Life in the Hole",6.4,"One-time-watch movie"
"Life Like",5.4,"One-time-watch movie"
Lifechanger,5.3,"One-time-watch movie"
Like.Share.Follow.,5.1,"One-time-watch movie"
Lilli,5.7,"One-time-watch movie"
"Linhas de Sangue",3.4,"Flop movie"
Live,3.6,"Flop movie"
"Live Cargo",4.6,"Flop movie"
"London Fields",4.3,"Flop movie"
"Long Lost",5.0,"One-time-watch movie"
"Look Away",6.2,"One-time-watch movie"
"Looking Glass",4.5,"Flop movie"
"Loon Lake",5.5,"One-time-watch movie"
"Loosideu deurim",6.1,"One-time-watch movie"
"Los Angeles Overnight",6.2,"One-time-watch movie"
"Lost Angelas",8.8,"Superhit movie"
"Lost Fare",4.5,"Flop movie"
"Lost Solace",4.1,"Flop movie"
Lottery,5.8,"One-time-watch movie"
"Love Me Not",6.1,"One-time-watch movie"
Lover,5.7,"One-time-watch movie"
Loverboy,5.8,"One-time-watch movie"
"Low Tide",6.1,"One-time-watch movie"
Lucid,6.2,"One-time-watch movie"
"Lucky Day",5.0,"One-time-watch movie"
Lukas,5.9,"One-time-watch movie"
Luna,5.5,"One-time-watch movie"
Lupt,7.7,"Hit movie"
Luz,5.6,"One-time-watch movie"
Lycan,6.4,"One-time-watch movie"
Lyst,3.9,"Flop movie"
M.F.A.,6.1,"One-time-watch movie"
M/M,4.9,"Flop movie"
Ma,5.6,"One-time-watch movie"
Maanagaram,8.1,"Superhit movie"
Maatr,4.5,"Flop movie"
Madre,7.0,"Hit movie"
Madre,5.6,"One-time-watch movie"
Madtown,6.3,"One-time-watch movie"
Magamuni,8.1,"Superhit movie"
Magellan,5.1,"One-time-watch movie"
"Maghzhaye Koochake Zang Zadeh",7.6,"Hit movie"
"Mai mee Samui samrab ter",6.1,"One-time-watch movie"
"Majaray Nimrooz: Radde Khoon",6.5,"One-time-watch movie"
"Mal Nosso",5.4,"One-time-watch movie"
Malicious,5.0,"One-time-watch movie"
Manu,8.0,"Superhit movie"
Manyak,5.9,"One-time-watch movie"
Mara,5.1,"One-time-watch movie"
Maracaibo,6.3,"One-time-watch movie"
Maradona,6.5,"One-time-watch movie"
"Marlina si Pembunuh dalam Empat Babak",7.0,"Hit movie"
"Mata Batin",5.1,"One-time-watch movie"
"Mata Batin 2",5.5,"One-time-watch movie"
Matriarch,5.7,"One-time-watch movie"
"Maze Runner: The Death Cure",6.2,"One-time-watch movie"
"Mean Dreams",6.3,"One-time-watch movie"
"Memorias de lo que no fue",4.6,"Flop movie"
Mercury,6.2,"One-time-watch movie"
"Mercy Black",4.9,"Flop movie"
Mersal,7.7,"Hit movie"
"Message from the King",6.4,"One-time-watch movie"
"Message Man",6.7,"One-time-watch movie"
"Metri Shesh Va Nim",7.9,"Hit movie"
Midnighters,5.3,"One-time-watch movie"
"Mientras el Lobo No Está",7.7,"Hit movie"
Mikhael,5.0,"One-time-watch movie"
"Mile 22",6.1,"One-time-watch movie"
Milliard,2.7,"Flop movie"
"Mind and Machine",3.0,"Flop movie"
MindGamers,3.8,"Flop movie"
"Mirror Game",6.1,"One-time-watch movie"
"Miss Sloane",7.5,"Hit movie"
Missing,5.7,"One-time-watch movie"
"Mission: Impossible - Fallout",7.8,"Hit movie"
"Mississippi Murder",3.5,"Flop movie"
"Misteri Dilaila",5.7,"One-time-watch movie"
Mok-gyeok-ja,6.3,"One-time-watch movie"
Mom,7.3,"Hit movie"
"Mom and Dad",5.5,"One-time-watch movie"
"Mon garçon",5.8,"One-time-watch movie"
Mona_Darling,5.2,"One-time-watch movie"
Money,5.5,"One-time-watch movie"
Money,6.6,"One-time-watch movie"
Monochrome,5.0,"One-time-watch movie"
Monolith,4.7,"Flop movie"
Monos,7.5,"Hit movie"
"Monster Party",5.4,"One-time-watch movie"
"Monsters and Men",5.7,"One-time-watch movie"
"Morto Não Fala",6.1,"One-time-watch movie"
"Most Beautiful Island",5.7,"One-time-watch movie"
Motorrad,4.7,"Flop movie"
"Mountain Fever",3.5,"Flop movie"
"Mr. & Ms. Rowdy",4.7,"Flop movie"
"Mr. Jones",6.7,"One-time-watch movie"
"Mu hou wan jia",5.4,"One-time-watch movie"
"Mu ji zhe",7.1,"Hit movie"
"Muere, monstruo, muere",5.3,"One-time-watch movie"
Muse,3.7,"Flop movie"
Muse,5.4,"One-time-watch movie"
Mute,5.4,"One-time-watch movie"
"My Birthday Song",5.5,"One-time-watch movie"
"My Pure Land",6.3,"One-time-watch movie"
"Naa Panta Kano",4.3,"Flop movie"
Naachiyar,6.9,"One-time-watch movie"
"Naam Shabana",6.3,"One-time-watch movie"
Nabab,7.7,"Hit movie"
"Ne Zha zhi mo tong jiang shi",7.7,"Hit movie"
Neckan,6.0,"One-time-watch movie"
Needlestick,3.5,"Flop movie"
Negative,4.4,"Flop movie"
Nematoma,7.1,"Hit movie"
"Nene Raju Nene Mantri",5.8,"One-time-watch movie"
Nereus,3.6,"Flop movie"
"Nerkonda Paarvai",8.4,"Superhit movie"
"Net I Die",3.8,"Flop movie"
"Never Here",4.2,"Flop movie"
"Never Hike Alone",6.9,"One-time-watch movie"
"Nguoi Bât Tu",6.5,"One-time-watch movie"
Nibunan,6.6,"One-time-watch movie"
"Nigerian Prince",5.1,"One-time-watch movie"
Night,3.8,"Flop movie"
"Night Bus",7.2,"Hit movie"
"Night Pulse",4.9,"Flop movie"
"Night Zero",3.2,"Flop movie"
Nighthawks,3.3,"Flop movie"
"Nightmare Box",3.0,"Flop movie"
"Nightmare Tenant",5.5,"One-time-watch movie"
Nightworld,4.4,"Flop movie"
Nirdosh,3.8,"Flop movie"
"No Date, No Signature",7.2,"Hit movie"
"No dormirás",5.1,"One-time-watch movie"
"No Way to Live",5.5,"One-time-watch movie"
"Nobel Chor",6.7,"One-time-watch movie"
Noctem,4.2,"Flop movie"
Nomis,5.8,"One-time-watch movie"
"Nommer 37",6.2,"One-time-watch movie"
"Non sono un assassino",5.9,"One-time-watch movie"
"Norman: The Moderate Rise and Tragic Fall of a New York Fixer",6.1,"One-time-watch movie"
"Notes on an Appearance",5.4,"One-time-watch movie"
"Nothing Really Happens",5.3,"One-time-watch movie"
"Nowhere Mind",4.6,"Flop movie"
"Numéro une",6.0,"One-time-watch movie"
"Nur Gott kann mich richten",6.7,"One-time-watch movie"
"O Animal Cordial",6.5,"One-time-watch movie"
"O Banquete",6.1,"One-time-watch movie"
"O lyubvi",5.1,"One-time-watch movie"
"O Paciente: O Caso Tancredo Neves",6.6,"One-time-watch movie"
"O Rastro",5.8,"One-time-watch movie"
Obsession,4.6,"Flop movie"
Occidental,5.4,"One-time-watch movie"
"Odds Are",3.9,"Flop movie"
"Off the Rails",4.9,"Flop movie"
"Okka Kshanam",7.0,"Hit movie"
One,6.0,"One-time-watch movie"
"One Day: Justice Delivered",6.7,"One-time-watch movie"
"One Less God",5.6,"One-time-watch movie"
"Only Mine",4.6,"Flop movie"
"Operation Alamelamma",8.1,"Superhit movie"
"Operation Brothers",6.5,"One-time-watch movie"
"Operation Ragnarök",3.8,"Flop movie"
"Orayiram Kinakkalal",5.9,"One-time-watch movie"
"Oru Mexican Aparatha",6.0,"One-time-watch movie"
"Öteki Taraf",6.2,"One-time-watch movie"
Otryv,4.1,"Flop movie"
"Ouija House",3.0,"Flop movie"
"Out of the Shadows",3.5,"Flop movie"
Overdrive,5.4,"One-time-watch movie"
Oxygen,5.5,"One-time-watch movie"
Painless,6.3,"One-time-watch movie"
"Paint It Red",4.1,"Flop movie"
Pandigai,6.6,"One-time-watch movie"
"Papa, sdokhni",6.8,"One-time-watch movie"
"Paradise Beach",4.4,"Flop movie"
"Paradise Hills",6.1,"One-time-watch movie"
Parallel,6.4,"One-time-watch movie"
Paralytic,4.9,"Flop movie"
"Paranormal Investigation",3.7,"Flop movie"
Parasites,4.0,"Flop movie"
"Party Hard Die Young",6.0,"One-time-watch movie"
Patser,6.7,"One-time-watch movie"
"Paul Sanchez est revenu!",5.7,"One-time-watch movie"
Peppermint,6.5,"One-time-watch movie"
Perception,5.9,"One-time-watch movie"
Perdidos,4.8,"Flop movie"
"Perfect sãnãtos",4.9,"Flop movie"
"Perfect Skin",5.1,"One-time-watch movie"
"Pet Sematary",5.8,"One-time-watch movie"
Piercing,5.6,"One-time-watch movie"
Pihu,6.7,"One-time-watch movie"
Pimped,4.3,"Flop movie"
Pirmdzimtais,5.7,"One-time-watch movie"
"Plagi Breslau",5.1,"One-time-watch movie"
"Playing with Dolls: Havoc",3.8,"Flop movie"
Pledge,5.4,"One-time-watch movie"
"Point Blank",5.6,"One-time-watch movie"
"Point of no Return",4.0,"Flop movie"
Polaroid,5.1,"One-time-watch movie"
"Polícia Federal: A Lei é para Todos",6.8,"One-time-watch movie"
Portal,3.7,"Flop movie"
Possum,5.5,"One-time-watch movie"
"Pozivniy «Banderas»",7.2,"Hit movie"
"Pray for Rain",5.1,"One-time-watch movie"
Prescience,3.5,"Flop movie"
Presumed,5.0,"One-time-watch movie"
"Primrose Lane",3.6,"Flop movie"
Prodigy,6.1,"One-time-watch movie"
Prodigy,3.4,"Flop movie"
Profile,7.3,"Hit movie"
"Project Eden: Vol. I",3.2,"Flop movie"
"Project Ghazi",5.8,"One-time-watch movie"
"Project Ithaca",3.9,"Flop movie"
Prospect,6.2,"One-time-watch movie"
Prowler,3.2,"Flop movie"
"Puen Tee Raluek",6.0,"One-time-watch movie"
"Purity Falls",5.3,"One-time-watch movie"
"Puriyaadha Pudhir",6.6,"One-time-watch movie"
"Pussy Kills",3.6,"Flop movie"
"Puthan Panam",6.0,"One-time-watch movie"
Quarries,4.4,"Flop movie"
Quick,7.3,"Hit movie"
"Quien a hierro mata",7.0,"Hit movie"
Raasta,3.9,"Flop movie"
Raazi,7.8,"Hit movie"
"Rabbia furiosa",5.8,"One-time-watch movie"
Rabbit,5.1,"One-time-watch movie"
"Race 3",2.0,"Flop movie"
Radius,6.2,"One-time-watch movie"
"Raju Gari Gadhi 2",5.3,"One-time-watch movie"
"Raju Gari Gadhi 3",8.8,"Superhit movie"
Rakshasudu,8.4,"Superhit movie"
Ramaleela,7.4,"Hit movie"
"Rambo: Last Blood",6.7,"One-time-watch movie"
"Rapid Eye Movement",4.2,"Flop movie"
"Rapurasu no majo",5.3,"One-time-watch movie"
Rassvet,4.4,"Flop movie"
Ratsasan,8.7,"Superhit movie"
Rattlesnakes,5.5,"One-time-watch movie"
"Ratu Ilmu Hitam",7.4,"Hit movie"
Ravenswood,6.2,"One-time-watch movie"
"Razbudi menya",5.9,"One-time-watch movie"
"Real Cases of Shadow People The Sarah McCormick Story",6.8,"One-time-watch movie"
Recall,2.8,"Flop movie"
"Red Christmas",4.3,"Flop movie"
"Red Letter Day",4.4,"Flop movie"
"Red Room",3.3,"Flop movie"
"Red Sparrow",6.6,"One-time-watch movie"
Redcon-1,4.2,"Flop movie"
Relentless,4.6,"Flop movie"
"Remélem legközelebb sikerül meghalnod:)",7.4,"Hit movie"
Removed,6.4,"One-time-watch movie"
Replace,4.6,"Flop movie"
Replicas,5.5,"One-time-watch movie"
Reprisal,4.2,"Flop movie"
Residue,5.4,"One-time-watch movie"
Restraint,3.9,"Flop movie"
Retina,5.6,"One-time-watch movie"
Retribution,6.0,"One-time-watch movie"
Revenge,6.3,"One-time-watch movie"
Revenger,5.7,"One-time-watch movie"
"Rewind: Die zweite Chance",5.6,"One-time-watch movie"
Ride,5.5,"One-time-watch movie"
Rideshare,5.2,"One-time-watch movie"
"Ridge Runners",3.9,"Flop movie"
"River Runs Red",4.8,"Flop movie"
"Robin Hood",5.3,"One-time-watch movie"
"Rock, Paper, Scissors",4.2,"Flop movie"
"Rocky Mental",5.8,"One-time-watch movie"
Rojo,6.5,"One-time-watch movie"
"Roman J. Israel, Esq.",6.4,"One-time-watch movie"
"Romeo Akbar Walter",6.5,"One-time-watch movie"
Romina,2.2,"Flop movie"
Rondo,4.0,"Flop movie"
Roofied,1.1,"Flop movie"
"Room 37: The Mysterious Death of Johnny Thunders",4.2,"Flop movie"
"Room for Rent",5.8,"One-time-watch movie"
Rosy,4.7,"Flop movie"
"Rough Night",5.2,"One-time-watch movie"
"Ruin Me",5.2,"One-time-watch movie"
"Running Out Of Time",4.0,"Flop movie"
"Running with the Devil",5.4,"One-time-watch movie"
Rupture,4.8,"Flop movie"
"Russkiy Bes",5.7,"One-time-watch movie"
"Rust Creek",5.8,"One-time-watch movie"
Ryde,5.9,"One-time-watch movie"
"S.W.A.T.: Under Siege",4.5,"Flop movie"
"Saab Bahadar",7.2,"Hit movie"
Saaho,5.5,"One-time-watch movie"
Sabrina,4.2,"Flop movie"
Safe,9.5,"Superhit movie"
Saja,6.2,"One-time-watch movie"
"Salinjaui gieokbeob",7.1,"Hit movie"
"Sam Was Here",4.8,"Flop movie"
"Sanctuary; Quite a Conundrum",5.4,"One-time-watch movie"
"Sarajin bam",6.6,"One-time-watch movie"
Sarvann,5.9,"One-time-watch movie"
Sathru,6.1,"One-time-watch movie"
Sathya,6.6,"One-time-watch movie"
Sathya,2.6,"Flop movie"
"Satyameva Jayate",5.6,"One-time-watch movie"
Savageland,5.9,"One-time-watch movie"
"Savita Damodar Paranjpe",6.0,"One-time-watch movie"
Savovi,7.4,"Hit movie"
Sawoleuiggeut,5.6,"One-time-watch movie"
"Scare BNB",4.7,"Flop movie"
"Scars of Xavier",3.8,"Flop movie"
"Scary Stories to Tell in the Dark",6.2,"One-time-watch movie"
"Scary Story Slumber Party",2.8,"Flop movie"
Schoolhouse,2.8,"Flop movie"
Searching,7.7,"Hit movie"
Seberg,5.4,"One-time-watch movie"
"Secret Obsession",4.3,"Flop movie"
Security,5.7,"One-time-watch movie"
Seeds,3.6,"Flop movie"
"Semma Botha Aagatha",5.0,"One-time-watch movie"
"Sequestro Relâmpago",4.8,"Flop movie"
Serenity,5.3,"One-time-watch movie"
Serpent,4.5,"Flop movie"
Setters,5.2,"One-time-watch movie"
"Seung joi nei jor yau",5.4,"One-time-watch movie"
Seven,5.2,"One-time-watch movie"
"Shadow Wolves",3.5,"Flop movie"
Shapludu,7.7,"Hit movie"
Shattered,5.4,"One-time-watch movie"
"She Who Must Burn",4.7,"Flop movie"
Shéhérazade,7.1,"Hit movie"
Shelter,5.4,"One-time-watch movie"
"Shohrat the Trap",6.1,"One-time-watch movie"
Shortwave,4.8,"Flop movie"
"Shot Caller",7.3,"Hit movie"
Shuddhi,8.1,"Superhit movie"
"Si-gan-wi-ui jib",6.3,"One-time-watch movie"
Siberia,4.3,"Flop movie"
"Siew Lup",6.8,"One-time-watch movie"
Silencer,3.8,"Flop movie"
Silencio,4.8,"Flop movie"
"Silent Panic",4.6,"Flop movie"
"Simple Creature",3.9,"Flop movie"
Simran,5.3,"One-time-watch movie"
Sindhubaadh,5.2,"One-time-watch movie"
"Singam 3",6.3,"One-time-watch movie"
"Sivappu Manjal Pachai",7.2,"Hit movie"
"Skin in the Game",4.3,"Flop movie"
Skjelvet,6.2,"One-time-watch movie"
Skybound,5.9,"One-time-watch movie"
Skyscraper,5.8,"One-time-watch movie"
Slasher.com,3.3,"Flop movie"
Sleepless,5.6,"One-time-watch movie"
Sleepwalker,5.1,"One-time-watch movie"
Slender,3.1,"Flop movie"
"Slender Man",3.2,"Flop movie"
"Small Crimes",5.8,"One-time-watch movie"
"Small Town Crime",6.6,"One-time-watch movie"
"Sniper: Ultimate Kill",5.6,"One-time-watch movie"
Solo,7.1,"Hit movie"
Solum,5.1,"One-time-watch movie"
"Somewhere Beyond the Mist",5.9,"One-time-watch movie"
Somnium,3.4,"Flop movie"
"Soul Hunters",6.5,"One-time-watch movie"
"Soul to Keep",4.3,"Flop movie"
Spell,6.2,"One-time-watch movie"
"Spider in the Web",4.5,"Flop movie"
"Spinning Man",5.6,"One-time-watch movie"
Split,7.3,"Hit movie"
Spyder,6.7,"One-time-watch movie"
"St. Agatha",5.1,"One-time-watch movie"
"Staged Killer",3.3,"Flop movie"
Stay,5.1,"One-time-watch movie"
"Steel Country",6.1,"One-time-watch movie"
"Steig. Nicht. Aus!",5.6,"One-time-watch movie"
Still/Born,5.4,"One-time-watch movie"
Stillwater,5.1,"One-time-watch movie"
Stockholm,4.9,"Flop movie"
Storozh,6.3,"One-time-watch movie"
"Strange But True",5.7,"One-time-watch movie"
"Strangers Within",4.0,"Flop movie"
"Strategy and Pursuit",7.4,"Hit movie"
Stratton,4.8,"Flop movie"
"Street Lights",6.6,"One-time-watch movie"
"Strip Club Massacre",6.4,"One-time-watch movie"
Submergence,5.4,"One-time-watch movie"
Subrahmanyapuram,5.6,"One-time-watch movie"
"Sugar Daddies",5.0,"One-time-watch movie"
"Sultan: The Saviour",5.5,"One-time-watch movie"
Sum1,4.0,"Flop movie"
"Sumaho o otoshita dake na no ni",5.5,"One-time-watch movie"
Superfly,5.1,"One-time-watch movie"
"Survival Box",2.9,"Flop movie"
"Svaha: The Sixth Finger",6.3,"One-time-watch movie"
Swallow,6.9,"One-time-watch movie"
"Swathanthryam Ardharathriyil",7.4,"Hit movie"
"Sweet Virginia",6.2,"One-time-watch movie"
Sweetheart,5.5,"One-time-watch movie"
"Take Off",8.3,"Superhit movie"
"Tam jeong 2",6.5,"One-time-watch movie"
Tamaroz,6.6,"One-time-watch movie"
"Tangent Room",4.6,"Flop movie"
Target,4.0,"Flop movie"
Tau,5.8,"One-time-watch movie"
Taxiwaala,7.1,"Hit movie"
"Teenage Cocktail",5.8,"One-time-watch movie"
Tekst,6.8,"One-time-watch movie"
"Tell Me Your Name",3.9,"Flop movie"
"Tempus Tormentum",3.8,"Flop movie"
Ten,4.6,"Flop movie"
"Tera Intezaar",1.7,"Flop movie"
Terminal,5.3,"One-time-watch movie"
Terrifier,5.6,"One-time-watch movie"
Thadam,8.2,"Superhit movie"
"The 13th Friday",3.0,"Flop movie"
"The 15:17 to Paris",5.2,"One-time-watch movie"
"The Angel",6.6,"One-time-watch movie"
"The Answer",4.1,"Flop movie"
"The Appearance",4.6,"Flop movie"
"The Archer",5.1,"One-time-watch movie"
"The Ascent",5.7,"One-time-watch movie"
"The Assignment",4.6,"Flop movie"
"The Atoning",4.1,"Flop movie"
"The Autopsy of Jane Doe",6.8,"One-time-watch movie"
"The Ballerina",4.5,"Flop movie"
"The Beguiled",6.3,"One-time-watch movie"
"The Belko Experiment",6.1,"One-time-watch movie"
"The Big Take",7.0,"Hit movie"
"The Birdcatcher",4.7,"Flop movie"
"The Black String",5.2,"One-time-watch movie"
"The Boat",5.3,"One-time-watch movie"
"The Body Tree",3.8,"Flop movie"
"The Book of Henry",6.6,"One-time-watch movie"
"The Broken Key",2.2,"Flop movie"
"The Burial Of Kojo",6.3,"One-time-watch movie"
"The Burnt Orange Heresy",5.6,"One-time-watch movie"
"The Butler",7.6,"Hit movie"
"The Cabin",3.0,"Flop movie"
"The Capture",5.1,"One-time-watch movie"
"The Car: Road to Revenge",4.1,"Flop movie"
"The Chain",4.6,"Flop movie"
"The Chamber",4.4,"Flop movie"
"The Changeover",5.3,"One-time-watch movie"
"The Child Remains",4.9,"Flop movie"
"The Church",2.8,"Flop movie"
"The Circle",5.3,"One-time-watch movie"
"The Circle",5.3,"One-time-watch movie"
"The Cleaning Lady",5.5,"One-time-watch movie"
"The Coldest Game",6.2,"One-time-watch movie"
"The Collini Case",7.2,"Hit movie"
"The Commuter",6.3,"One-time-watch movie"
"The Corrupted",5.7,"One-time-watch movie"
"The Crossbreed",2.3,"Flop movie"
"The Crucifixion",5.1,"One-time-watch movie"
"The Curse of La Llorona",5.4,"One-time-watch movie"
"The Cutlass",4.3,"Flop movie"
"The Dark Below",4.2,"Flop movie"
"The Dead Center",5.6,"One-time-watch movie"
"The Dig",6.2,"One-time-watch movie"
"The Dinner",4.5,"Flop movie"
"The Doll 2",5.3,"One-time-watch movie"
"The Drownsman",4.1,"Flop movie"
"The Elevator: Three Minutes Can Change Your Life",4.6,"Flop movie"
"The Entitled",6.1,"One-time-watch movie"
"The Equalizer 2",6.7,"One-time-watch movie"
"The Evangelist",6.3,"One-time-watch movie"
"The Evil Inside Her",3.5,"Flop movie"
"The Ex Next Door",5.3,"One-time-watch movie"
"The Executioners",3.8,"Flop movie"
"The Fanatic",4.7,"Flop movie"
"The Farm",3.7,"Flop movie"
"The Farm: En Veettu Thottathil",7.4,"Hit movie"
"The Fast and the Fierce",2.3,"Flop movie"
"The Fate of the Furious",6.7,"One-time-watch movie"
"The Field",4.0,"Flop movie"
"The Follower",4.5,"Flop movie"
"The Forbidden Dimensions",1.6,"Flop movie"
"The Foreigner",7.0,"Hit movie"
"The Forgiven",5.9,"One-time-watch movie"
"The Fox",4.7,"Flop movie"
"The Furies",5.2,"One-time-watch movie"
"The Gallows Act II",4.6,"Flop movie"
"The Garlock Incident",4.6,"Flop movie"
"The Ghazi Attack",7.6,"Hit movie"
"The Ghost and The Whale",4.3,"Flop movie"
"The Ghoul",5.5,"One-time-watch movie"
"The Good Liar",6.5,"One-time-watch movie"
"The Grinn",4.1,"Flop movie"
"The Guardian Angel",5.3,"One-time-watch movie"
"The Guest House",3.7,"Flop movie"
"The Harrowing",4.1,"Flop movie"
"The Harvesting",3.7,"Flop movie"
"The Hatton Garden Job",5.8,"One-time-watch movie"
"The Haunted",3.6,"Flop movie"
"The Haunting of Sharon Tate",2.9,"Flop movie"
"The Hollow One",3.8,"Flop movie"
"The Holly Kane Experiment",5.1,"One-time-watch movie"
"The Honor Farm",3.6,"Flop movie"
"The House of Violent Desire",3.2,"Flop movie"
"The Hummingbird Project",6.2,"One-time-watch movie"
"The Huntress: Rune of the Dead",6.5,"One-time-watch movie"
"The Hurt",3.2,"Flop movie"
"The Husband",5.1,"One-time-watch movie"
"The Inherited",4.3,"Flop movie"
"The Institute",4.1,"Flop movie"
"The Isle",6.1,"One-time-watch movie"
"The Job",6.0,"One-time-watch movie"
"The Journey",6.1,"One-time-watch movie"
"The Kill Team",5.9,"One-time-watch movie"
"The Killing of a Sacred Deer",7.0,"Hit movie"
"The Lake Vampire",5.7,"One-time-watch movie"
"The Last Witness",5.5,"One-time-watch movie"
"The Legend of Halloween Jack",3.1,"Flop movie"
"The Lighthouse",5.1,"One-time-watch movie"
"The Limehouse Golem",6.3,"One-time-watch movie"
"The Line",6.8,"One-time-watch movie"
"The Lodge",6.7,"One-time-watch movie"
"The Mad Whale",5.8,"One-time-watch movie"
"The Man in the Shadows",3.3,"Flop movie"
"The Man in the Wall",5.9,"One-time-watch movie"
"The Man Who Was Thursday",5.0,"One-time-watch movie"
"The Manson Family Massacre",3.2,"Flop movie"
"The Marker",5.5,"One-time-watch movie"
"The Martyr Maker",3.9,"Flop movie"
"The Mason Brothers",5.6,"One-time-watch movie"
"The Men",5.5,"One-time-watch movie"
"The Midnight Man",3.6,"Flop movie"
"The Midnight Matinee",3.7,"Flop movie"
"The Mule",7.0,"Hit movie"
"The Music Box",5.8,"One-time-watch movie"
"The Nanny",4.1,"Flop movie"
"The Neighbor",5.3,"One-time-watch movie"
"The Night Comes for Us",7.0,"Hit movie"
"The Nightingale",7.2,"Hit movie"
"The Nightmare Gallery",3.8,"Flop movie"
"The Nth Ward",3.5,"Flop movie"
"The Nun",5.3,"One-time-watch movie"
"The Nursery",5.5,"One-time-watch movie"
"The Oath",5.3,"One-time-watch movie"
"The Open House",3.2,"Flop movie"
"The Operative",5.6,"One-time-watch movie"
"The Outsider",6.3,"One-time-watch movie"
"The Pages",5.0,"One-time-watch movie"
"The Pale Man",4.4,"Flop movie"
"The Parts You Lose",5.3,"One-time-watch movie"
"The Perception",4.7,"Flop movie"
